id,name,season,age,gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,sacFlies
668941,JoJo Romero,2025,28,65,0,72,49,21,9,0,2,55,29,5,47,2,.217,217,.311,.286,.597,1,4,.800,.200,6,990,2.07,61.0,4,6,8,9,24,1,14,1.25,255,183,65,0,0,618,.620,2,0,2,0,62,1.47,.400,16.23,16,1.90,8.11,4.28,6.93,3.10,0.30,26,3,1,3,3
668941,JoJo Romero,2026,29,14,0,16,16,6,2,0,2,9,5,0,13,1,.245,53,.322,.396,.718,0,0,.---,.---,1,240,3.77,14.1,0,1,0,0,7,0,6,1.26,60,43,14,0,0,147,.610,1,0,0,0,21,1.00,.000,16.74,1,1.80,5.65,3.14,8.16,3.77,1.26,11,2,0,1,0
669194,Ryne Nelson,2022,24,3,3,11,27,4,2,1,2,16,6,1,9,0,.145,62,.217,.306,.523,0,0,.---,.---,0,253,1.47,18.1,1,1,0,0,0,0,3,0.82,69,55,3,0,0,159,.630,0,0,0,0,19,0.41,.500,13.80,0,2.67,7.85,2.95,4.42,1.96,0.98,0,0,0,0,1
669194,Ryne Nelson,2023,25,29,27,129,187,87,37,10,24,96,46,0,159,1,.284,559,.334,.515,.849,4,2,.333,.667,15,2355,5.31,144.0,8,8,0,0,0,0,85,1.42,619,432,29,0,0,1522,.650,1,1,6,0,288,0.69,.500,16.35,1,2.09,6.00,2.88,9.94,5.44,1.50,0,0,1,2,10
669194,Ryne Nelson,2024,26,28,25,151,158,73,36,9,17,126,34,2,155,5,.266,583,.308,.446,.754,0,2,1.000,.000,18,2406,4.24,150.2,10,6,1,1,0,0,71,1.25,630,452,28,0,0,1632,.680,5,0,4,0,260,0.96,.625,15.97,1,3.71,7.53,2.03,9.26,4.36,1.02,2,1,1,0,7
669194,Ryne Nelson,2025,27,33,23,140,178,62,25,9,17,132,41,0,124,4,.217,572,.273,.381,.654,1,1,.500,.500,12,2466,3.39,154.0,7,3,1,2,1,1,58,1.07,619,462,33,0,0,1613,.650,4,0,1,1,218,0.79,.700,16.01,4,3.22,7.71,2.40,7.25,3.62,0.99,1,0,0,0,2
669194,Ryne Nelson,2026,28,6,6,18,38,28,7,1,6,24,11,0,28,0,.259,108,.328,.509,.837,0,0,.---,.---,0,464,7.71,25.2,1,2,0,0,0,0,22,1.52,120,77,6,0,0,300,.650,0,0,0,0,55,0.47,.333,18.08,0,2.18,8.42,3.86,9.82,9.82,2.10,0,0,1,0,0
669211,Keegan Akin,2020,25,8,6,14,29,17,8,0,3,35,10,0,27,1,.262,103,.328,.427,.755,0,0,.---,.---,0,500,4.56,25.2,1,2,0,0,0,0,13,1.44,116,77,8,0,0,322,.640,1,1,0,1,44,0.48,.333,19.48,0,3.50,12.27,3.51,9.47,5.96,1.05,1,0,0,0,2
669211,Keegan Akin,2021,26,24,17,74,119,70,21,2,17,82,40,1,110,2,.290,379,.357,.491,.848,2,0,.000,1.000,7,1768,6.63,95.0,2,10,0,0,0,0,70,1.58,427,285,24,0,0,1158,.650,2,1,5,1,186,0.62,.167,18.61,1,2.05,7.77,3.79,10.42,6.63,1.61,4,2,0,1,5
669211,Keegan Akin,2022,27,45,1,89,72,35,15,0,10,77,20,0,69,1,.227,304,.275,.375,.650,2,0,.000,1.000,8,1235,3.20,81.2,3,3,2,2,3,0,29,1.09,329,245,45,0,0,864,.700,1,0,1,0,114,1.24,.500,15.12,10,3.85,8.49,2.20,7.60,3.86,1.10,27,10,1,1,2
669211,Keegan Akin,2023,28,24,1,17,26,22,6,2,2,27,7,2,35,0,.337,104,.375,.490,.865,2,0,.000,1.000,1,452,6.85,23.2,2,2,0,0,3,0,18,1.77,112,71,24,0,0,319,.710,0,0,2,1,51,0.65,.500,19.10,7,3.86,10.27,2.66,13.31,8.37,0.76,11,5,0,0,1
