player_id,game_id,team_side,team_name,opponent_pitcher_name,opponent_pitcher_hand,batter_bat_side,lineup_position,batting_order_raw,batter_bats_left,batter_bats_right,batter_switch_hitter,pitcher_throws_left,platoon_advantage
669357,823069,home,St. Louis Cardinals,George Kirby,,,0,,0,0,0,0,0
656271,824529,home,Cincinnati Reds,Framber Valdez,,,0,,0,0,0,0,0
571945,824611,away,Washington Nationals,Bryan Hudson,,,0,,0,0,0,0,0
642708,824204,away,New York Yankees,Lance McCullers Jr.,,,0,,0,0,0,0,0
681393,823232,away,Miami Marlins,Adrian Houser,,,0,,0,0,0,0,0
690986,823800,home,Milwaukee Brewers,Paul Skenes,,,0,,0,0,0,0,0
669477,823232,home,San Francisco Giants,Sandy Alcantara,,,0,,0,0,0,0,0
669622,823232,away,Miami Marlins,Adrian Houser,,,0,,0,0,0,0,0
696147,824124,away,Los Angeles Angels,Noah Cameron,,,0,,0,0,0,0,0
687551,823232,home,San Francisco Giants,Sandy Alcantara,,,0,,0,0,0,0,0
596133,823638,home,New York Mets,Michael Lorenzen,,,0,,0,0,0,0,0
664702,822827,home,Toronto Blue Jays,Gavin Williams,,,0,,0,0,0,0,0
687231,822909,away,Athletics,Nathan Eovaldi,,,0,,0,0,0,0,0
607625,824124,home,Kansas City Royals,Yusei Kikuchi,,,0,,0,0,0,0,0
808982,823232,home,San Francisco Giants,Sandy Alcantara,,,0,,0,0,0,0,0
805300,823232,away,Miami Marlins,Adrian Houser,,,0,,0,0,0,0,0
800050,822827,away,Cleveland Guardians,Max Scherzer,,,0,,0,0,0,0,0
643377,822992,home,Tampa Bay Rays,Taj Bradley,,,0,,0,0,0,0,0
664728,824124,home,Kansas City Royals,Yusei Kikuchi,,,0,,0,0,0,0,0
665622,822909,away,Athletics,Nathan Eovaldi,,,0,,0,0,0,0,0
701398,824529,home,Cincinnati Reds,Framber Valdez,,,4,400,0,0,0,0,0
682052,822909,away,Athletics,Nathan Eovaldi,,,0,,0,0,0,0,0
677594,823069,away,Seattle Mariners,Andre Pallante,,,0,,0,0,0,0,0
680755,822827,home,Toronto Blue Jays,Gavin Williams,,,0,,0,0,0,0,0
663460,824124,home,Kansas City Royals,Yusei Kikuchi,,,0,,0,0,0,0,0
519141,824124,away,Los Angeles Angels,Noah Cameron,,,0,,0,0,0,0,0
668804,823800,away,Pittsburgh Pirates,Brandon Woodruff,,,0,,0,0,0,0,0
680776,824854,away,Boston Red Sox,Brandon Young,,,1,100,0,0,0,0,0
650490,822992,home,Tampa Bay Rays,Taj Bradley,,,4,400,0,0,0,0,0
683357,823232,away,Miami Marlins,Adrian Houser,,,0,,0,0,0,0,0
571578,822827,home,Toronto Blue Jays,Gavin Williams,,,0,,0,0,0,0,0
502671,824204,away,New York Yankees,Lance McCullers Jr.,,,0,,0,0,0,0,0
695418,824611,away,Washington Nationals,Bryan Hudson,,,0,,0,0,0,0,0
681715,823232,away,Miami Marlins,Adrian Houser,,,0,,0,0,0,0,0
641857,824204,away,New York Yankees,Lance McCullers Jr.,,,0,,0,0,0,0,0
624424,823962,away,Chicago Cubs,Emmet Sheehan,,,0,,0,0,0,0,0
